Name,Category,Hours,Price,Address,Coordinates,URL,Phone
Salalat Zelena,"restaurant;
food;
point_of_interest;
establishment","Sunday 10:00 -  21:00
Monday 10:00 -  21:00
Tuesday 10:00 -  21:00
Wednesday 10:00 -  21:00
Thursday 10:00 -  21:00
Friday 10:00 -  21:00
Saturday 10:00 -  21:00",,"Zelena St, 151, Lviv, Lviv Oblast, 79000","49.80954, 24.061577",https://salalatpimonenka.choiceqr.com/online-menu/section:menyu/deserti,063 887 5658
CHOICE ресторан | банкет-хол,"meal_delivery;
bar;
restaurant;
food;
point_of_interest;
establishment","Sunday 10:00 -  23:00
Monday 10:00 -  23:00
Tuesday 10:00 -  23:00
Wednesday 10:00 -  23:00
Thursday 10:00 -  23:00
Friday 10:00 -  23:00
Saturday 10:00 -  23:00",2,"Bratyslavska St, 52, Kyiv, 02139","50.491848, 30.61108",https://thechoice.kiev.ua/,067 650 4555
Atelier 19. Pizza & lovely food,"restaurant;
food;
point_of_interest;
establishment","Sunday 12:00 -  23:00
Monday 12:00 -  22:00
Tuesday 12:00 -  22:00
Wednesday 12:00 -  22:00
Thursday 12:00 -  22:00
Friday 12:00 -  23:00
Saturday 12:00 -  23:00",2,"Staroievreiska St, 19, Lviv, Lviv Oblast, 79008","49.840736, 24.032806",https://atelier19.choiceqr.com/,096 661 6553
Mamasushi,"restaurant;
food;
point_of_interest;
establishment","Sunday 12:00 -  21:00
Tuesday 12:00 -  21:00
Wednesday 12:00 -  21:00
Thursday 12:00 -  22:00
Friday 12:00 -  22:00
Saturday 12:00 -  21:00",,"Shevchenka St, 21, Lviv, Lviv Oblast, 79000","49.84426, 24.007633",https://mamasushi.choiceqr.com/,098 957 0011
Krumpli Lviv,"restaurant;
food;
point_of_interest;
establishment","Sunday 11:00 - Monday 00:00
Monday 11:00 -  23:00
Tuesday 11:00 -  23:00
Wednesday 11:00 -  23:00
Thursday 11:00 -  23:00
Friday 11:00 - Saturday 00:00
Saturday 11:00 - Sunday 00:00",,"Rynok Square, 38, Lviv, Lviv Oblast, 79000","49.842476, 24.031116",http://krumpli.choiceqr.com/,093 421 1141
Churrasco Grill & Beer,"bar;
meal_delivery;
restaurant;
food;
point_of_interest;
establishment","Sunday 11:00 -  23:00
Monday 11:00 -  23:00
Tuesday 11:00 -  23:00
Wednesday 11:00 -  23:00
Thursday 11:00 -  23:00
Friday 11:00 -  23:00
Saturday 11:00 -  23:00",2,"Halytska St, 13, Lviv, Lviv Oblast, 79000","49.840324, 24.031498",http://churrasco.com.ua/,067 868 8684
Korzo Family. Цукерня-ресторація,"bakery;
cafe;
restaurant;
food;
point_of_interest;
store;
establishment","Sunday 09:00 -  21:00
Monday 09:00 -  21:00
Tuesday 09:00 -  21:00
Wednesday 09:00 -  21:00
Thursday 09:00 -  21:00
Friday 09:00 -  21:00
Saturday 09:00 -  21:00",2,"Vulytsya Korzo, 23, Uzhhorod, Zakarpattia Oblast, 88000","48.624073, 22.29938",https://korzofamily.choiceqr.com/,099 130 4142
New York Street Pizza,"restaurant;
food;
point_of_interest;
establishment","Sunday 10:00 -  22:30
Monday 10:00 -  22:30
Tuesday 10:00 -  22:30
Wednesday 10:00 -  22:30
Thursday 10:00 -  22:30
Friday 10:00 -  22:30
Saturday 10:00 -  22:30",,"Hetmana Mazepy St, 25єЛьвів, Lviv Oblast, 79059","49.872272, 24.041336",https://lv-nysp.choiceqr.com/,098 417 4187
"Dr.Ink , food & drink","bar;
point_of_interest;
establishment","Sunday 17:00 - Monday 01:00
Monday 17:00 - Tuesday 01:00
Tuesday 17:00 - Wednesday 01:00
Wednesday 17:00 - Thursday 01:00
Thursday 17:00 - Friday 02:00
Friday 17:00 - Saturday 02:00
Saturday 14:00 - Sunday 01:00",2,"Yana Zhyzhky St, 6, Lviv, Lviv Oblast, 79008","49.84411, 24.029291",https://drinklvivbar.choiceqr.com/,096 855 8364
Delicateka,"restaurant;
food;
point_of_interest;
establishment","Sunday 11:00 -  22:30
Monday 11:00 -  22:30
Wednesday 11:00 -  22:30
Thursday 11:00 -  22:30
Friday 11:00 -  22:30
Saturday 11:00 -  22:30",2,"Drukarska St, 11, Lviv, Lviv Oblast, 79000","49.84374, 24.031897",http://delikateka.choiceqr.com/delivery,097 127 0560
Bakery,"bakery;
cafe;
store;
point_of_interest;
food;
establishment","Sunday 08:00 -  22:00
Monday 08:00 -  22:00
Tuesday 08:00 -  22:00
Wednesday 08:00 -  22:00
Thursday 08:00 -  22:00
Friday 08:00 -  22:00
Saturday 08:00 -  22:00",2,"Khreshchatyk St, 190, Cherkasy, Cherkasy Oblast, 18007","49.44492, 32.062683",https://instagram.com/bakery_ck,067 009 4008
«Bakery» пекарня-кавʼярня,"bakery;
store;
point_of_interest;
food;
establishment","Sunday 08:00 -  21:00
Monday 08:00 -  21:00
Tuesday 08:00 -  21:00
Wednesday 08:00 -  21:00
Thursday 08:00 -  21:00
Friday 08:00 -  21:00
Saturday 08:00 -  21:00",,"Novoprechystenska St, 55, Cherkasy, Cherkasy Oblast, 18000","49.424763, 32.083897",https://instagram.com/bakery_ck,096 002 4008
Om Nom Nom Vegan Cafe,"restaurant;
food;
point_of_interest;
establishment","Sunday 10:00 -  22:00
Monday 10:00 -  21:00
Tuesday 10:00 -  21:00
Wednesday 10:00 -  21:00
Thursday 10:00 -  21:00
Friday 10:00 -  22:00
Saturday 10:00 -  22:00",2,"Rymlyanyna St, 10, Lviv, Lviv Oblast, 79000","49.83867, 24.037569",https://omnomnom-rymlyanyna.choiceqr.com/menu,063 648 1993
Mushlya,"restaurant;
food;
point_of_interest;
establishment","Sunday 12:00 -  22:00
Monday 12:00 -  22:00
Tuesday 12:00 -  22:00
Wednesday 12:00 -  22:00
Thursday 12:00 -  22:00
Friday 12:00 -  22:00
Saturday 12:00 -  22:00",2,"Mel'nychuka St, 16Б, Ivano-Frankivsk, Ivano-Frankivsk Oblast, 76000","48.921898, 24.71324",https://mushlya4.choiceqr.com/,098 908 2849
