Place Name,Review Name,Relative Publish Time Description,Rating,Text,Original Text,Author Display Name,Author URI,Author Photo URI,Publish Time
Salalat Zelena,places/ChIJK5F-5dPpOkcRpZo2u4ZrK88/reviews/ChdDSUhNMG9nS0VJQ0FnSUN0b2RuTnlnRRAB,2 months ago,5,A very cool place with delicious pizza and a nice atmosphere. I would really like to have pizza available in all Salalat establishments🍕,"Дуже класне місце зі смачнющою піцою та приємною атмосферою. Дуже хотілось би, щоб у всіх закладах Salalat була доступна піца🍕",Tetiana Mykhailenko,https://www.google.com/maps/contrib/108963676677296016953/reviews,https://lh3.googleusercontent.com/a-/ALV-UjWpUGrIfR_n6Tkh2f9lLROGgHbQ3MJUKAU5hoxX9Rn2ZlBfATVM=s128-c0x00000000-cc-rp-mo-ba4,2024-01-30T15:53:02Z
Salalat Zelena,places/ChIJK5F-5dPpOkcRpZo2u4ZrK88/reviews/ChZDSUhNMG9nS0VJQ0FnSUQxci1MaEJnEAE,2 months ago,5,"Everything is perfect except wifi speed. There is no such problem on Uhorska and Soborna. If possible, please correct it, I will visit you more often.","Усе бездоганно, окрім швидкості wifi. На Угорській та Соборній такої проблеми немає. Якщо можливо, виправте будь ласка, буду частіше до вас навідуватись.",Sergii Omelchuk,https://www.google.com/maps/contrib/106807065717560463494/reviews,https://lh3.googleusercontent.com/a/ACg8ocIS8M1XPChn3YtmCh_d686jo9RrmT5kAf8579N91AKXwgJ2=s128-c0x00000000-cc-rp-mo-ba3,2024-01-10T19:57:41Z
Salalat Zelena,places/ChIJK5F-5dPpOkcRpZo2u4ZrK88/reviews/ChZDSUhNMG9nS0VJQ0FnSUNkdTVERk1BEAE,a month ago,5,"A pleasant place, cozy with calm music. Deliciously. I recommend 😊👍🏻","Приємне місце, затишне зі спокійною музикою. Смачно. Рекомендую. 😊👍🏻",Nata Davyd,https://www.google.com/maps/contrib/112868951649320787206/reviews,https://lh3.googleusercontent.com/a-/ALV-UjV6KQkWCVgSU-A_LxFUSRZYBzeeEyaxYU3XYZo0qn3gHP__6puP=s128-c0x00000000-cc-rp-mo,2024-02-18T16:20:09Z
Salalat Zelena,places/ChIJK5F-5dPpOkcRpZo2u4ZrK88/reviews/ChdDSUhNMG9nS0VJQ0FnSUM1M3VIOXNBRRAB,5 months ago,5,"We decided to have dinner with my wife, the pasta and salad were delicious. We also received a compliment from the establishment, it was unexpected and very tasty😊","Вирішили повечеряти з дружиною, паста і салат були смачними. Також отримали комплімент від закладу, було несподівано і дуже смачно😊",Oleh B,https://www.google.com/maps/contrib/111765590308958439929/reviews,https://lh3.googleusercontent.com/a/ACg8ocK4rzTYdTzJk_Jsxi18LFgj7KR0e9Nyldtzj15i8b1bJhMlMw=s128-c0x00000000-cc-rp-mo,2023-10-13T20:09:31Z
Salalat Zelena,places/ChIJK5F-5dPpOkcRpZo2u4ZrK88/reviews/ChZDSUhNMG9nS0VJQ0FnSURaa01IME5REAE,6 months ago,5,"The best institution in Lviv, now nearby!
the most delicious pasta and soups
love their coffee, the staff is friendly and comfortable, the atmosphere is just wow.
I adore you😍","Найкращий заклад у Львові, тепер поруч!
найсмачніша паста та супчики
обожнюю їхню каву, персонал привітний та комфортний, атмосфера просто вау.
обожнюю вас😍",Tonya Zhuzhla,https://www.google.com/maps/contrib/105288239221444272388/reviews,https://lh3.googleusercontent.com/a-/ALV-UjX2Ici43nSFvwPgx2kKGA4Xri4cAXyNGntCGiw6Dn3v_sEgNxd5Hg=s128-c0x00000000-cc-rp-mo,2023-09-22T12:39:25Z
CHOICE ресторан | банкет-хол,places/ChIJiVAMjLLR1EARLtWRcgs5qQA/reviews/ChdDSUhNMG9nS0VJQ0FnSURtNVBma3RnRRAB,2 years ago,1,"Very poor service :(
This place know just to say “No”
Sad to share this review","Very poor service :(
This place know just to say “No”
Sad to share this review",Moran Kariv,https://www.google.com/maps/contrib/116349921143094729423/reviews,https://lh3.googleusercontent.com/a-/ALV-UjUQb3C6oQ0Ti829i5YfdW7PFKxlg_FWHJfibm3dDq9U8Trni2F1VQ=s128-c0x00000000-cc-rp-mo,2022-01-19T16:14:59Z
CHOICE ресторан | банкет-хол,places/ChIJiVAMjLLR1EARLtWRcgs5qQA/reviews/ChdDSUhNMG9nS0VJQ0FnSURHemJmMDJnRRAB,2 years ago,5,👍🏻,👍🏻,Вікторія Олешко,https://www.google.com/maps/contrib/110693564143125076314/reviews,https://lh3.googleusercontent.com/a-/ALV-UjVW-Dyh3d2U65nDPOkPK7gG0FUsUFU_DhoW0_T4SoGQCGyscyCv=s128-c0x00000000-cc-rp-mo-ba3,2021-12-06T06:03:41Z
CHOICE ресторан | банкет-хол,places/ChIJiVAMjLLR1EARLtWRcgs5qQA/reviews/ChZDSUhNMG9nS0VJQ0FnSUNHM00zZlFnEAE,2 years ago,5,Good food and friendly staff,Good food and friendly staff,Albert Nowakowski,https://www.google.com/maps/contrib/105956926998007102594/reviews,https://lh3.googleusercontent.com/a/ACg8ocLIRWbe215SVW7TQ8FemZ2Kq74cU9RFu17MmuBHVFMotO0XQQ=s128-c0x00000000-cc-rp-mo-ba4,2021-10-23T07:36:02Z
CHOICE ресторан | банкет-хол,places/ChIJiVAMjLLR1EARLtWRcgs5qQA/reviews/ChdDSUhNMG9nS0VJQ0FnSUNhb0syYjFBRRAB,2 years ago,5,Fabulous,Fabulous,Neeru Neeru,https://www.google.com/maps/contrib/107998300143759239294/reviews,https://lh3.googleusercontent.com/a-/ALV-UjVRiUFFZAlTgwHQQY7Q08jLYKaAimUmIMVu_NusJRDIi2C51Wa3=s128-c0x00000000-cc-rp-mo,2021-07-21T00:48:05Z
CHOICE ресторан | банкет-хол,places/ChIJiVAMjLLR1EARLtWRcgs5qQA/reviews/ChdDSUhNMG9nS0VJQ0FnSUNEa18yTTdnRRAB,in the last week,5,Great restaurant! Always clean and tasteful! The new menu surprised us all! The halls are well laid out! Service at a high level! There is a large playroom for children. Excellent combination of price and quality! I recommend!,"Отличный ресторан! Всегда чисто, со вкусом! Новое меню нас всех удивило! Отлично спланированы залы! Обслуживание на высоком уровне! Для детей есть большая игровая комната. Отличное сочетание цены и качества! Рекомендую!",Галина Киян,https://www.google.com/maps/contrib/111085819231375795872/reviews,https://lh3.googleusercontent.com/a-/ALV-UjXS0oJwtXs3YEAGEziXs-fQ0ybSW_7vkWx89UjGiK9NYcGtTKs=s128-c0x00000000-cc-rp-mo,2024-04-01T07:19:32Z
Atelier 19. Pizza & lovely food,places/ChIJx6uzGBrdOkcRS5JyXNCf61g/reviews/ChZDSUhNMG9nS0VJQ0FnSURwbF8zU2N3EAE,7 months ago,5,"Tasty pizza — perfect choice for all those, looking for the correct pizza Neapolitan style. Good bread and mix of Ingredients.
My best choice — siciliano","Tasty pizza — perfect choice for all those, looking for the correct pizza Neapolitan style. Good bread and mix of Ingredients.
My best choice — siciliano",Kamertab yoga,https://www.google.com/maps/contrib/107312460917488155567/reviews,https://lh3.googleusercontent.com/a-/ALV-UjUntoWlI1Oj4Y2YHWr5zGq0CXF8IZtg0gH6-GkVoJeZhTrpEoObbg=s128-c0x00000000-cc-rp-mo-ba3,2023-08-30T20:59:49Z
Atelier 19. Pizza & lovely food,places/ChIJx6uzGBrdOkcRS5JyXNCf61g/reviews/ChZDSUhNMG9nS0VJQ0FnSUNKcktmZ1R3EAE,9 months ago,5,"Interesting place. Great pasta, delicious cocktails, glamorous audience, cheerful waiters. It is necessary to clarify the serving size of dishes, because some are huge and some are very small. Cocktails are classy and awesomely decorated. The price tag is closer to high. In general, the place is worth it!","Interesting place. Great pasta, delicious cocktails, glamorous audience, cheerful waiters. It is necessary to clarify the serving size of dishes, because some are huge and some are very small. Cocktails are classy and awesomely decorated. The price tag is closer to high. In general, the place is worth it!",Ростислав Андрійович,https://www.google.com/maps/contrib/108152104602801454038/reviews,https://lh3.googleusercontent.com/a-/ALV-UjVsNOx7CeExuOHC599UNIozKTkaUwvPDhmoH6JeVbuLjRO6aiA=s128-c0x00000000-cc-rp-mo,2023-06-22T13:12:47Z
Atelier 19. Pizza & lovely food,places/ChIJx6uzGBrdOkcRS5JyXNCf61g/reviews/ChZDSUhNMG9nS0VJQ0FnSURaMmFmYk5BEAE,6 months ago,5,"The best pizza in my life.
The waiters are a bit slow sometimes but it's ok.
The pizza is amazing.","The best pizza in my life.
The waiters are a bit slow sometimes but it's ok.
The pizza is amazing.",Valeria Burdyka,https://www.google.com/maps/contrib/105267800586243040729/reviews,https://lh3.googleusercontent.com/a/ACg8ocKsMK5vy8I7OzvAI4ZUMN9LnHD-yjBjuJywnbvNNM3obtn5zKA=s128-c0x00000000-cc-rp-mo-ba3,2023-10-04T11:35:43Z
Atelier 19. Pizza & lovely food,places/ChIJx6uzGBrdOkcRS5JyXNCf61g/reviews/ChZDSUhNMG9nS0VJQ0FnSUN5aTZIbEFREAE,3 years ago,5,"I love the interior of the place, it feels really cozy. The staff is very attentive and friendly and can definitely give you great recommendations if you're not sure what to order. Great place!","I love the interior of the place, it feels really cozy. The staff is very attentive and friendly and can definitely give you great recommendations if you're not sure what to order. Great place!",I Y,https://www.google.com/maps/contrib/100694089571441803194/reviews,https://lh3.googleusercontent.com/a-/ALV-UjU35XJ7OLOksTMSso93Z3SOlYHBqHxS89geUuzKr1sGy0f9j2yDow=s128-c0x00000000-cc-rp-mo-ba4,2021-02-12T19:52:11Z
Atelier 19. Pizza & lovely food,places/ChIJx6uzGBrdOkcRS5JyXNCf61g/reviews/ChZDSUhNMG9nS0VJQ0FnSURDaW9xNU93EAE,3 years ago,5,"My favorite place in Lviv. The food is delicious, so many options for everyone! The design is on top. So if you wish to take nice pictures for Instagram, there are few different areas for that) Btw food looks also pretty fab😁 And I can't mention The Staff! Those guys are amazing! Really sweet and attentive!
I and my friends will come back here again and again.
10/10
Stole my heart 🖤","My favorite place in Lviv. The food is delicious, so many options for everyone! The design is on top. So if you wish to take nice pictures for Instagram, there are few different areas for that) Btw food looks also pretty fab😁 And I can't mention The Staff! Those guys are amazing! Really sweet and attentive!
I and my friends will come back here again and again.
10/10
Stole my heart 🖤",Maria A.,https://www.google.com/maps/contrib/105629647122234622188/reviews,https://lh3.googleusercontent.com/a-/ALV-UjV6lDji9jAGCqzQ8GQmhN8RB_7gVgOAUddK5P8aYFFoFNz_R6c=s128-c0x00000000-cc-rp-mo-ba2,2020-09-21T19:21:48Z
Mamasushi,places/ChIJj7633u_dOkcR_OhJVciW9ew/reviews/ChdDSUhNMG9nS0VJQ0FnSUN0Zy1XaHdRRRAB,2 months ago,2,"Adequate ordering via the Internet is already a big advantage, because in some establishments you still have to write to Viber and throw money inexplicably.

That's where the good stuff ends.
The rolls come with ordinary square tubs with no wasabi and dubious ginger.
They took the most expensive set, where they probably should have put the best rolls, only one turned out to be tasty - maki with shrimp. The roll covered with processed cheese is simply disgusting, the rest of the order is not good, it is also cut crookedly 💔","Адекватне замовлення через інтернет це вже велика перевага, тому що у деяких закладах досі треба писати на вайбер і кидати незрозуміло куди гроші.

На цьому хороші речі закінчуються.
В комплектацію до ролів йде звичайні квадратні ванночки з ніяким васабі та сумнівним імбиром.
Взяли найдорожчий сет, куди мали би мабуть мали покласти найкращі роли, смачним виявився тільки один - макі з креветкою. Рол накритий плавленим сиром просто огидний, решта замовлення ніяке, ще й порізано криво 💔",Олексій Паламар,https://www.google.com/maps/contrib/113739282143381634945/reviews,https://lh3.googleusercontent.com/a-/ALV-UjVxeREQlNMpBS3wjM7dgpzAbklVvvE-shhGXhfo1ZT58mphHodyNg=s128-c0x00000000-cc-rp-mo-ba7,2024-01-31T16:22:31Z
